N,amplitude,shift,seed,initial_cost,final_cost,time_seconds
7,0.01,0.29,4,30111,8952,0.018510099966078997
7,0.01,0.33,0,30103,8617,0.02868349989876151
7,0.01,0.33,1,30103,8617,0.034772800048813224
7,0.01,0.33,2,30103,8617,0.030079200165346265
7,0.01,0.33,3,30103,8617,0.03530029999092221
7,0.01,0.33,4,30103,8617,0.01902489992789924
9,0.002,0.2,0,29212,8967,0.021079899976029992
9,0.002,0.2,1,29212,8967,0.021053000120446086
9,0.002,0.2,2,29212,8967,0.03130179992876947
9,0.002,0.2,3,29212,8967,0.04456229996867478
9,0.002,0.2,4,29212,8967,0.029713300056755543
9,0.002,0.25,0,29211,8967,0.028239700011909008
9,0.002,0.25,1,29211,8967,0.029015999985858798
9,0.002,0.25,2,29211,8967,0.021615299861878157
9,0.002,0.25,3,29211,8967,0.0442476999014616
9,0.002,0.25,4,29211,8967,0.04136670008301735
9,0.002,0.29,0,30481,8658,0.05313139990903437
9,0.002,0.29,1,30481,8658,0.04943789984099567
9,0.002,0.29,2,30481,8658,0.05328450002707541
9,0.002,0.29,3,30481,8658,0.05468960013240576
9,0.002,0.29,4,30481,8658,0.04734379984438419
9,0.002,0.33,0,30772,8523,0.022733099991455674
9,0.002,0.33,1,30772,8523,0.042745300102978945
9,0.002,0.33,2,30772,8523,0.04391169990412891
9,0.002,0.33,3,30772,8523,0.03191990009509027
9,0.002,0.33,4,30772,8523,0.04519429989159107
9,0.003,0.2,0,29212,8967,0.020363900111988187
9,0.003,0.2,1,29212,8967,0.029887499986216426
9,0.003,0.2,2,29212,8967,0.021418399875983596
9,0.003,0.2,3,29212,8967,0.021783200092613697
9,0.003,0.2,4,29212,8967,0.045004199957475066
9,0.003,0.25,0,29211,8967,0.03324529994279146
9,0.003,0.25,1,29211,8967,0.04144479986280203
9,0.003,0.25,2,29211,8967,0.04504959983751178
9,0.003,0.25,3,29211,8967,0.04457559995353222
9,0.003,0.25,4,29211,8967,0.04524050001055002
9,0.003,0.29,0,30481,8658,0.053532399935647845
9,0.003,0.29,1,30481,8658,0.045370399951934814
9,0.003,0.29,2,30481,8658,0.05509439995512366
9,0.003,0.29,3,30481,8658,0.05035859998315573
9,0.003,0.29,4,30481,8658,0.038461799966171384
9,0.003,0.33,0,30772,8523,0.023371400078758597
9,0.003,0.33,1,30772,8523,0.022772599942982197
9,0.003,0.33,2,30772,8523,0.02643739990890026
9,0.003,0.33,3,30772,8523,0.049115899950265884
9,0.003,0.33,4,30772,8523,0.05944490013644099
9,0.005,0.2,0,29212,8967,0.031515999929979444
9,0.005,0.2,1,29212,8967,0.03064130013808608
9,0.005,0.2,2,29212,8967,0.0417843998875469
9,0.005,0.2,3,29212,8967,0.047297499841079116
9,0.005,0.2,4,29212,8967,0.033519200049340725
9,0.005,0.25,0,29211,8967,0.04458019998855889
9,0.005,0.25,1,29211,8967,0.030016300035640597
9,0.005,0.25,2,29211,8967,0.0410438000690192
9,0.005,0.25,3,29211,8967,0.03889169986359775
9,0.005,0.25,4,29211,8967,0.03145279991440475
9,0.005,0.29,0,30481,8658,0.055812699953094125
9,0.005,0.29,1,30481,8658,0.0547692000400275
9,0.005,0.29,2,30481,8658,0.0531188000459224
9,0.005,0.29,3,30481,8658,0.051857100101187825
9,0.005,0.29,4,30481,8658,0.049179699970409274
9,0.005,0.33,0,30772,8523,0.039255699841305614
9,0.005,0.33,1,30772,8523,0.04424259997904301
9,0.005,0.33,2,30772,8523,0.032566900132223964
9,0.005,0.33,3,30772,8523,0.03289599996060133
9,0.005,0.33,4,30772,8523,0.03452119999565184
9,0.01,0.2,0,29212,8967,0.04421890014782548
9,0.01,0.2,1,29212,8967,0.03465869999490678
9,0.01,0.2,2,29212,8967,0.04144890001043677
9,0.01,0.2,3,29212,8967,0.022725499933585525
9,0.01,0.2,4,29212,8967,0.030804499983787537
9,0.01,0.25,0,29211,8967,0.029330399818718433
9,0.01,0.25,1,29211,8967,0.028433799976482987
9,0.01,0.25,2,29211,8967,0.03415069985203445
9,0.01,0.25,3,29211,8967,0.03436000016517937
9,0.01,0.25,4,29211,8967,0.03201039996929467
9,0.01,0.29,0,30481,8658,0.06478450004942715
9,0.01,0.29,1,30481,8658,0.03207130008377135
9,0.01,0.29,2,30481,8658,0.04900709982030094
9,0.01,0.29,3,30481,8658,0.04648079979233444
9,0.01,0.29,4,30481,8658,0.04169830004684627
9,0.01,0.33,0,30772,8523,0.04929480003193021
9,0.01,0.33,1,30772,8523,0.04191549983806908
9,0.01,0.33,2,30772,8523,0.036761999828740954
9,0.01,0.33,3,30772,8523,0.023623900022357702
9,0.01,0.33,4,30772,8523,0.03515329980291426
11,0.002,0.2,0,30348,8639,0.04090580018237233
11,0.002,0.2,1,30348,8639,0.04322430002503097
11,0.002,0.2,2,30348,8639,0.05468220007605851
11,0.002,0.2,3,30348,8639,0.052920599933713675
11,0.002,0.2,4,30348,8639,0.049223699839785695
11,0.002,0.25,0,30423,8697,0.036750399973243475
11,0.002,0.25,1,30423,8697,0.04189440002664924
11,0.002,0.25,2,30423,8697,0.023537599947303534
11,0.002,0.25,3,30423,8697,0.02085380000062287
11,0.002,0.25,4,30423,8697,0.027612200006842613
11,0.002,0.29,0,30306,8639,0.05229140003211796
11,0.002,0.29,1,30306,8639,0.035179799888283014
11,0.002,0.29,2,30306,8639,0.0328103001229465
11,0.002,0.29,3,30306,8639,0.05460549984127283
11,0.002,0.29,4,30306,8639,0.0378371998667717
11,0.002,0.33,0,30812,8639,0.040204199962317944
11,0.002,0.33,1,30812,8639,0.06134180002845824
11,0.002,0.33,2,30812,8639,0.051997500006109476
11,0.002,0.33,3,30812,8639,0.051593500189483166
11,0.002,0.33,4,30812,8639,0.06178599991835654
11,0.003,0.2,0,30348,8639,0.03442899999208748
11,0.003,0.2,1,30348,8639,0.02903159987181425
11,0.003,0.2,2,30348,8639,0.04665290005505085
11,0.003,0.2,3,30348,8639,0.047820499865338206
11,0.003,0.2,4,30348,8639,0.038831000216305256
11,0.003,0.25,0,30423,8697,0.034347299952059984
11,0.003,0.25,1,30423,8697,0.026580699952319264
11,0.003,0.25,2,30423,8697,0.027974099852144718
11,0.003,0.25,3,30423,8697,0.03568440000526607
11,0.003,0.25,4,30423,8697,0.04210809990763664
11,0.003,0.29,0,30306,8639,0.052804200211539865
11,0.003,0.29,1,30306,8639,0.04116080002859235
11,0.003,0.29,2,30306,8639,0.04632919980213046
11,0.003,0.29,3,30306,8639,0.03637230000458658
11,0.003,0.29,4,30306,8639,0.04199759988114238
11,0.003,0.33,0,30812,8639,0.04991080006584525
11,0.003,0.33,1,30812,8639,0.05019209999591112
