N,amplitude,shift,seed,initial_cost,final_cost,time_seconds
8,0.005,0.35,2,29999,8754,0.013107300037518144
8,0.005,0.35,3,29999,8754,0.011025500018149614
8,0.005,0.35,4,29999,8754,0.010145399952307343
8,0.005,0.35,5,29999,8754,0.014057300053536892
8,0.005,0.35,6,29999,8754,0.012077299878001213
8,0.005,0.35,7,29999,8754,0.01651119999587536
8,0.005,0.35,8,29999,8754,0.011443800060078502
8,0.005,0.35,9,29999,8754,0.009367299964651465
9,0.003,0.31,0,30838,8727,0.034149100072681904
9,0.003,0.31,1,30838,8727,0.026262300089001656
9,0.003,0.31,2,30838,8727,0.041809100192040205
9,0.003,0.31,3,30838,8727,0.03094920003786683
9,0.003,0.31,4,30838,8727,0.036453899927437305
9,0.003,0.31,5,30838,8727,0.02793999994173646
9,0.003,0.31,6,30838,8727,0.035185900051146746
9,0.003,0.31,7,30838,8727,0.034395000198855996
9,0.003,0.31,8,30838,8727,0.03743480006232858
9,0.003,0.31,9,30838,8727,0.045216399943456054
9,0.003,0.32,0,30991,8651,0.06767929997295141
9,0.003,0.32,1,30991,8651,0.06862899987027049
9,0.003,0.32,2,30991,8651,0.03947689989581704
9,0.003,0.32,3,30991,8651,0.050853800028562546
9,0.003,0.32,4,30991,8651,0.03179730009287596
9,0.003,0.32,5,30991,8651,0.03228610008955002
9,0.003,0.32,6,30991,8651,0.04038979997858405
9,0.003,0.32,7,30991,8651,0.06777839991264045
9,0.003,0.32,8,30991,8651,0.05289019993506372
9,0.003,0.32,9,30991,8651,0.05704930005595088
9,0.003,0.33,0,30772,8523,0.024589200038462877
9,0.003,0.33,1,30772,8523,0.04460390005260706
9,0.003,0.33,2,30772,8523,0.030066899955272675
9,0.003,0.33,3,30772,8523,0.03356859995983541
9,0.003,0.33,4,30772,8523,0.04950630012899637
9,0.003,0.33,5,30772,8523,0.034613899886608124
9,0.003,0.33,6,30772,8523,0.03808419988490641
9,0.003,0.33,7,30772,8523,0.04204110009595752
9,0.003,0.33,8,30772,8523,0.05364300007931888
9,0.003,0.33,9,30772,8523,0.05526000005193055
9,0.003,0.34,0,30772,8523,0.035897300112992525
9,0.003,0.34,1,30772,8523,0.039414099883288145
9,0.003,0.34,2,30772,8523,0.0436518001370132
9,0.003,0.34,3,30772,8523,0.049580999882891774
9,0.003,0.34,4,30772,8523,0.048730099806562066
9,0.003,0.34,5,30772,8523,0.04862080002203584
9,0.003,0.34,6,30772,8523,0.05001730006188154
9,0.003,0.34,7,30772,8523,0.04637140012346208
9,0.003,0.34,8,30772,8523,0.04045540001243353
9,0.003,0.34,9,30772,8523,0.0439089999999851
9,0.003,0.35,0,30772,8523,0.03503310005180538
9,0.003,0.35,1,30772,8523,0.03253720002248883
9,0.003,0.35,2,30772,8523,0.045306299813091755
9,0.003,0.35,3,30772,8523,0.05363949993625283
9,0.003,0.35,4,30772,8523,0.04291859990917146
9,0.003,0.35,5,30772,8523,0.04404080007225275
9,0.003,0.35,6,30772,8523,0.0317283000331372
9,0.003,0.35,7,30772,8523,0.08412410016171634
9,0.003,0.35,8,30772,8523,0.06328510004095733
9,0.003,0.35,9,30772,8523,0.06641400000080466
9,0.005,0.31,0,30838,8727,0.05125549994409084
9,0.005,0.31,1,30838,8727,0.02594750002026558
9,0.005,0.31,2,30838,8727,0.0423159000929445
9,0.005,0.31,3,30838,8727,0.053563900059089065
9,0.005,0.31,4,30838,8727,0.053021600004285574
9,0.005,0.31,5,30838,8727,0.05835899990051985
9,0.005,0.31,6,30838,8727,0.045462199952453375
9,0.005,0.31,7,30838,8727,0.03258700016885996
9,0.005,0.31,8,30838,8727,0.052679500076919794
9,0.005,0.31,9,30838,8727,0.04245349997654557
9,0.005,0.32,0,30991,8651,0.06854390003718436
9,0.005,0.32,1,30991,8651,0.05241029988974333
9,0.005,0.32,2,30991,8651,0.06265420001000166
9,0.005,0.32,3,30991,8651,0.062029500026255846
9,0.005,0.32,4,30991,8651,0.06217669998295605
9,0.005,0.32,5,30991,8651,0.05818260018713772
9,0.005,0.32,6,30991,8651,0.053760800044983625
9,0.005,0.32,7,30991,8651,0.05955599993467331
9,0.005,0.32,8,30991,8651,0.05265869991853833
9,0.005,0.32,9,30991,8651,0.06783249997533858
9,0.005,0.33,0,30772,8523,0.02581709995865822
9,0.005,0.33,1,30772,8523,0.02324060001410544
9,0.005,0.33,2,30772,8523,0.028523500077426434
9,0.005,0.33,3,30772,8523,0.04456540010869503
9,0.005,0.33,4,30772,8523,0.038545200135558844
9,0.005,0.33,5,30772,8523,0.03265650011599064
9,0.005,0.33,6,30772,8523,0.03491969988681376
9,0.005,0.33,7,30772,8523,0.03795100003480911
9,0.005,0.33,8,30772,8523,0.047822399996221066
9,0.005,0.33,9,30772,8523,0.03759169997647405
9,0.005,0.34,0,30772,8523,0.052139199804514647
9,0.005,0.34,1,30772,8523,0.05238390015438199
9,0.005,0.34,2,30772,8523,0.04320870013907552
9,0.005,0.34,3,30772,8523,0.045052000088617206
9,0.005,0.34,4,30772,8523,0.04728420008905232
9,0.005,0.34,5,30772,8523,0.03912730002775788
9,0.005,0.34,6,30772,8523,0.045850299997255206
9,0.005,0.34,7,30772,8523,0.042967200046405196
9,0.005,0.34,8,30772,8523,0.04959099995903671
9,0.005,0.34,9,30772,8523,0.04003739985637367
9,0.005,0.35,0,30772,8523,0.04344779998064041
9,0.005,0.35,1,30772,8523,0.046334399841725826
9,0.005,0.35,2,30772,8523,0.04603069997392595
9,0.005,0.35,3,30772,8523,0.022792499978095293
9,0.005,0.35,4,30772,8523,0.022671799873933196
9,0.005,0.35,5,30772,8523,0.040286599891260266
9,0.005,0.35,6,30772,8523,0.030609200010076165
9,0.005,0.35,7,30772,8523,0.02248210017569363
9,0.005,0.35,8,30772,8523,0.03504160000011325
9,0.005,0.35,9,30772,8523,0.05342049989849329
10,0.003,0.31,0,31704,8508,0.02947339997626841
10,0.003,0.31,1,31704,8508,0.02769859996624291
10,0.003,0.31,2,31704,8508,0.011806099908426404
10,0.003,0.31,3,31704,8508,0.022282700054347515
10,0.003,0.31,4,31704,8508,0.012297000037506223
10,0.003,0.31,5,31704,8508,0.013094200054183602
10,0.003,0.31,6,31704,8508,0.01342909992672503
10,0.003,0.31,7,31704,8508,0.02235330012626946
10,0.003,0.31,8,31704,8508,0.019866300048306584
10,0.003,0.31,9,31704,8508,0.02771349996328354
10,0.003,0.32,0,31704,8508,0.020958299981430173
10,0.003,0.32,1,31704,8508,0.013221499975770712
10,0.003,0.32,2,31704,8508,0.011878299992531538
10,0.003,0.32,3,31704,8508,0.013238599989563227
10,0.003,0.32,4,31704,8508,0.02499180007725954
10,0.003,0.32,5,31704,8508,0.019171299878507853
10,0.003,0.32,6,31704,8508,0.02488789986819029
10,0.003,0.32,7,31704,8508,0.0128734998870641
10,0.003,0.32,8,31704,8508,0.027455100091174245
10,0.003,0.32,9,31704,8508,0.026170900091528893
10,0.003,0.33,0,30788,8508,0.028857399942353368
10,0.003,0.33,1,30788,8508,0.021418899996206164
10,0.003,0.33,2,30788,8508,0.02522679977118969
10,0.003,0.33,3,30788,8508,0.029437600169330835
10,0.003,0.33,4,30788,8508,0.029705900000408292
10,0.003,0.33,5,30788,8508,0.02411330002360046
10,0.003,0.33,6,30788,8508,0.020741199841722846
10,0.003,0.33,7,30788,8508,0.02919080015271902
10,0.003,0.33,8,30788,8508,0.02360660000704229
10,0.003,0.33,9,30788,8508,0.022823699982836843
10,0.003,0.34,0,30788,8508,0.015071899862959981
10,0.003,0.34,1,30788,8508,0.040854099905118346
10,0.003,0.34,2,30788,8508,0.08714719978161156
10,0.003,0.34,3,30788,8508,0.036393700167536736
10,0.003,0.34,4,30788,8508,0.029590999940410256
10,0.003,0.34,5,30788,8508,0.019051500130444765
10,0.003,0.34,6,30788,8508,0.013193599879741669
10,0.003,0.34,7,30788,8508,0.01689500012435019
10,0.003,0.34,8,30788,8508,0.026698699919506907
10,0.003,0.34,9,30788,8508,0.012827300000935793
10,0.003,0.35,0,30788,8508,0.029603100148960948
10,0.003,0.35,1,30788,8508,0.023792200023308396
10,0.003,0.35,2,30788,8508,0.01702359993942082
10,0.003,0.35,3,30788,8508,0.027426999993622303
10,0.003,0.35,4,30788,8508,0.01957169990055263
10,0.003,0.35,5,30788,8508,0.018568099942058325
10,0.003,0.35,6,30788,8508,0.030135300010442734
10,0.003,0.35,7,30788,8508,0.02590849995613098
10,0.003,0.35,8,30788,8508,0.02910429984331131
10,0.003,0.35,9,30788,8508,0.02936069993302226
10,0.005,0.31,0,31704,8508,0.017089700093492866
10,0.005,0.31,1,31704,8508,0.025766100035980344
10,0.005,0.31,2,31704,8508,0.017836200073361397
10,0.005,0.31,3,31704,8508,0.020774699980393052
10,0.005,0.31,4,31704,8508,0.029344999929890037
10,0.005,0.31,5,31704,8508,0.024890000000596046
10,0.005,0.31,6,31704,8508,0.014015200082212687
10,0.005,0.31,7,31704,8508,0.02894170000217855
10,0.005,0.31,8,31704,8508,0.012738500023260713
10,0.005,0.31,9,31704,8508,0.0269444000441581
10,0.005,0.32,0,31704,8508,0.016958000138401985
10,0.005,0.32,1,31704,8508,0.020508799934759736
10,0.005,0.32,2,31704,8508,0.026145099895074964
10,0.005,0.32,3,31704,8508,0.023177199997007847
10,0.005,0.32,4,31704,8508,0.026179200038313866
10,0.005,0.32,5,31704,8508,0.015192400198429823
10,0.005,0.32,6,31704,8508,0.013675399823114276
10,0.005,0.32,7,31704,8508,0.017994799884036183
10,0.005,0.32,8,31704,8508,0.024262600112706423
10,0.005,0.32,9,31704,8508,0.012408100068569183
10,0.005,0.33,0,30788,8508,0.011789800133556128
10,0.005,0.33,1,30788,8508,0.013219600077718496
10,0.005,0.33,2,30788,8508,0.022497399942949414
10,0.005,0.33,3,30788,8508,0.029287999961525202
10,0.005,0.33,4,30788,8508,0.013844799948856235
10,0.005,0.33,5,30788,8508,0.025823500007390976
10,0.005,0.33,6,30788,8508,0.02950170007534325
10,0.005,0.33,7,30788,8508,0.029405200155451894
10,0.005,0.33,8,30788,8508,0.02930859988555312
10,0.005,0.33,9,30788,8508,0.029500499833375216
10,0.005,0.34,0,30788,8508,0.02929900004528463
10,0.005,0.34,1,30788,8508,0.025757400086149573
10,0.005,0.34,2,30788,8508,0.013342399848625064
10,0.005,0.34,3,30788,8508,0.012717500096186996
10,0.005,0.34,4,30788,8508,0.013346099993214011
10,0.005,0.34,5,30788,8508,0.013349799904972315
10,0.005,0.34,6,30788,8508,0.025437100091949105
10,0.005,0.34,7,30788,8508,0.029269799822941422
10,0.005,0.34,8,30788,8508,0.029175799805670977
10,0.005,0.34,9,30788,8508,0.022546999854966998
10,0.005,0.35,0,30788,8508,0.015193300088867545
10,0.005,0.35,1,30788,8508,0.03050289978273213
10,0.005,0.35,2,30788,8508,0.019531199941411614
10,0.005,0.35,3,30788,8508,0.012983999913558364
10,0.005,0.35,4,30788,8508,0.014024600153788924
10,0.005,0.35,5,30788,8508,0.020289799897000194
10,0.005,0.35,6,30788,8508,0.02019839989952743
10,0.005,0.35,7,30788,8508,0.015231499914079905
10,0.005,0.35,8,30788,8508,0.016529900021851063
10,0.005,0.35,9,30788,8508,0.029051899909973145
11,0.003,0.31,0,30356,8639,0.03864739998243749
11,0.003,0.31,1,30356,8639,0.06029219995252788
11,0.003,0.31,2,30356,8639,0.0393690001219511
11,0.003,0.31,3,30356,8639,0.03764709993265569
11,0.003,0.31,4,30356,8639,0.04008319997228682
11,0.003,0.31,5,30356,8639,0.06146270013414323
11,0.003,0.31,6,30356,8639,0.02655930002219975
11,0.003,0.31,7,30356,8639,0.045777800027281046
11,0.003,0.31,8,30356,8639,0.03734799986705184
11,0.003,0.31,9,30356,8639,0.0577777000144124
11,0.003,0.32,0,30356,8639,0.05887730000540614
11,0.003,0.32,1,30356,8639,0.03256249986588955
11,0.003,0.32,2,30356,8639,0.03470780001953244
11,0.003,0.32,3,30356,8639,0.044622299959883094
11,0.003,0.32,4,30356,8639,0.0445507001131773
11,0.003,0.32,5,30356,8639,0.0403547000605613
11,0.003,0.32,6,30356,8639,0.04647769988514483
11,0.003,0.32,7,30356,8639,0.06049540010280907
11,0.003,0.32,8,30356,8639,0.04948540008626878
11,0.003,0.32,9,30356,8639,0.05542440013960004
11,0.003,0.33,0,30812,8639,0.0301212000194937
11,0.003,0.33,1,30812,8639,0.055956900119781494
11,0.003,0.33,2,30812,8639,0.0549407999496907
11,0.003,0.33,3,30812,8639,0.03731700009666383
11,0.003,0.33,4,30812,8639,0.05065810005180538
11,0.003,0.33,5,30812,8639,0.044669599970802665
11,0.003,0.33,6,30812,8639,0.05095099983736873
11,0.003,0.33,7,30812,8639,0.034386999905109406
11,0.003,0.33,8,30812,8639,0.038482999894768
11,0.003,0.33,9,30812,8639,0.04140800004824996
11,0.003,0.34,0,30812,8639,0.03351540002040565
11,0.003,0.34,1,30812,8639,0.034006600035354495
11,0.003,0.34,2,30812,8639,0.03767540003173053
11,0.003,0.34,3,30812,8639,0.029623299837112427
11,0.003,0.34,4,30812,8639,0.061016099993139505
11,0.003,0.34,5,30812,8639,0.04669849993661046
11,0.003,0.34,6,30812,8639,0.030768300173804164
11,0.003,0.34,7,30812,8639,0.03978440002538264
11,0.003,0.34,8,30812,8639,0.06169719994068146
11,0.003,0.34,9,30812,8639,0.04967400012537837
11,0.003,0.35,0,31135,9009,0.020877700066193938
11,0.003,0.35,1,31135,9009,0.046173400012776256
11,0.003,0.35,2,31135,9009,0.022067199926823378
11,0.003,0.35,3,31135,9009,0.027726500062271953
11,0.003,0.35,4,31135,9009,0.030067200073972344
11,0.003,0.35,5,31135,9009,0.029265499906614423
11,0.003,0.35,6,31135,9009,0.03627809998579323
11,0.003,0.35,7,31135,9009,0.02816260000690818
11,0.003,0.35,8,31135,9009,0.021707599982619286
11,0.003,0.35,9,31135,9009,0.032931899884715676
11,0.005,0.31,0,30356,8639,0.041851399932056665
11,0.005,0.31,1,30356,8639,0.05186689994297922
11,0.005,0.31,2,30356,8639,0.058182899840176105
11,0.005,0.31,3,30356,8639,0.059576400090008974
11,0.005,0.31,4,30356,8639,0.060981799848377705
11,0.005,0.31,5,30356,8639,0.060820900136604905
